"category","region","graduation","experience_text","job_salary","job_id"
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",61300,1164805
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164804
"Образование, наука","г. АЛМАТЫ","высшее","до 3 лет",90000,1164801
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",145000,1164798
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164795
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",145000,1164790
"Образование, наука","г. АЛМАТЫ","высшее","до 3 лет",120000,1164788
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164782
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1164780
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",110000,1164778
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",55426,1164776
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1164775
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1164773
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164771
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",145000,1164770
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1164756
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1164755
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",85000,1164749
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1164745
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1164744
